variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
hier_fs_iso_k8_seg_node,96,1,17070,1766,0.2867,0.2416,0.4829,0.0216,14656,50.67
hier_fs_iso_k8_seg_total,96,1,136560,14128,0.2867,0.2416,0.4829,0.1185,117248,50.67
hier_fs_iso_k8_glue,96,1,12841,1460,0.251,0.2322,0.319,0.1372,14656,39.1
hier_fs_iso_k8,96,2,149401,15588,0.5377,0.2558,0.5237,0.25,131904,50.42
hier_fs_iso_k8_seg_node,96,2,17070,1766,0.2867,0.2558,0.5237,0.0202,14656,50.42
hier_fs_iso_k8_seg_total,96,2,136560,14128,0.2867,0.2558,0.5237,0.1132,117248,50.42
hier_fs_iso_k8_glue,96,2,12841,1460,0.251,0.2315,0.3216,0.1368,14656,39.14
hier_fs_iso_k8,96,3,149401,15588,0.5377,0.2474,0.5398,0.237,131904,50.43
hier_fs_iso_k8_seg_node,96,3,17070,1766,0.2867,0.2474,0.5398,0.0138,14656,50.43
hier_fs_iso_k8_seg_total,96,3,136560,14128,0.2867,0.2474,0.5398,0.0997,117248,50.43
hier_fs_iso_k8_glue,96,3,12841,1460,0.251,0.2363,0.322,0.1373,14656,39.12
hier_fs_iso_k2,128,1,172805,20644,0.8041,0.2943,1.7555,0.1031,43968,154.4
hier_fs_iso_k2_seg_node,128,1,83604,10034,0.5706,0.2943,1.7555,0.0119,14656,154.4
hier_fs_iso_k2_seg_total,128,1,167208,20068,0.5706,0.2943,1.7555,0.0237,29312,154.4
hier_fs_iso_k2_glue,128,1,5597,576,0.2335,0.2392,0.1896,0.0794,14656,29.29
hier_fs_iso_k2,128,2,172805,20644,0.8041,0.3017,1.8245,0.1026,43968,154.61
hier_fs_iso_k2_seg_node,128,2,83604,10034,0.5706,0.3017,1.8245,0.012,14656,154.61
hier_fs_iso_k2_seg_total,128,2,167208,20068,0.5706,0.3017,1.8245,0.0237,29312,154.61
hier_fs_iso_k2_glue,128,2,5597,576,0.2335,0.234,0.1959,0.0789,14656,29.37
hier_fs_iso_k2,128,3,172805,20644,0.8041,0.2962,1.8322,0.104,43968,154.52
