variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_gp_k2_outer,2504,2,1480155,5538,0.228,0.2054,21.0281,0.0157,14656,2075.3
recursion_gp_k4,2504,1,8157700,651134,7.8528,1.7891,62.3747,0.0141,14656,4154.57
recursion_gp_k4_seg_node,2504,1,1285027,161267,7.5077,1.5763,21.3966,,,1880.01
recursion_gp_k4_seg_total,2504,1,5140108,645068,7.5077,1.5763,21.3966,,,1880.01
recursion_gp_k4_outer,2504,1,3017592,6066,0.3451,0.2128,40.9781,0.0141,14656,4154.57
recursion_gp_k4,2504,2,8157700,651134,7.7588,1.7788,62.2958,0.0136,14656,4154.0
recursion_gp_k4_seg_node,2504,2,1285027,161267,7.5077,1.565,21.405,,,1879.95
recursion_gp_k4_seg_total,2504,2,5140108,645068,7.5077,1.565,21.405,,,1879.95
recursion_gp_k4_outer,2504,2,3017592,6066,0.2511,0.2138,40.8908,0.0136,14656,4154.0
recursion_gp_k8,2504,1,11236346,651226,3.9872,1.409,92.0729,0.0121,14656,8128.44
recursion_gp_k8_seg_node,2504,1,642985,80513,3.5307,1.1855,14.4587,,,961.97
recursion_gp_k8_seg_total,2504,1,5143880,644104,3.5307,1.1855,14.4587,,,961.97
recursion_gp_k8_outer,2504,1,6092466,7122,0.4565,0.2235,77.6142,0.0121,14656,8128.44
recursion_gp_k8,2504,2,11236346,651226,3.7873,1.1228,89.528,0.0127,14656,8210.27
recursion_gp_k8_seg_node,2504,2,642985,80513,3.5307,0.8904,11.6422,,,962.05
recursion_gp_k8_seg_total,2504,2,5143880,644104,3.5307,0.8904,11.6422,,,962.05
recursion_gp_k8_outer,2504,2,6092466,7122,0.2566,0.2324,77.8858,0.0127,14656,8210.27
recursion_gp_k2,3000,1,7894037,813048,21.3668,3.443,65.8971,0.0162,14656,4334.06
recursion_gp_k2_seg_node,3000,1,3206359,403248,21.0515,3.2304,44.9656,,,4334.06
recursion_gp_k2_seg_total,3000,1,6412718,806496,21.0515,3.2304,44.9656,,,4334.06
recursion_gp_k2_outer,3000,1,1481319,6552,0.3153,0.2126,20.9315,0.0162,14656,2143.98
recursion_gp_k2,3000,2,7894037,813048,21.2739,3.4443,66.2898,0.0158,14656,4334.35
recursion_gp_k2_seg_node,3000,2,3206359,403248,21.0515,3.2319,45.3214,,,4334.35
recursion_gp_k2_seg_total,3000,2,6412718,806496,21.0515,3.2319,45.3214,,,4334.35
recursion_gp_k2_outer,3000,2,1481319,6552,0.2224,0.2124,20.9684,0.0158,14656,2125.09
recursion_gp_k4,3000,1,9433363,813094,10.2136,2.0408,65.2165,0.0137,14656,4149.32
recursion_gp_k4_seg_node,3000,1,1603609,201498,9.8443,1.8244,24.0796,,,2201.44
recursion_gp_k4_seg_total,3000,1,6414436,805992,9.8443,1.8244,24.0796,,,2201.44
recursion_gp_k4_outer,3000,1,3018927,7102,0.3693,0.2164,41.1369,0.0137,14656,4149.32
recursion_gp_k4,3000,2,9433363,813094,10.1027,2.0481,66.5274,0.0142,14656,4185.4
recursion_gp_k4_seg_node,3000,2,1603609,201498,9.8443,1.8229,24.6305,,,2201.45
recursion_gp_k4_seg_total,3000,2,6414436,805992,9.8443,1.8229,24.6305,,,2201.45
recursion_gp_k4_outer,3000,2,3018927,7102,0.2584,0.2252,41.8969,0.0142,14656,4185.4
recursion_gp_k8,3000,1,12512008,813186,4.9108,1.3206,94.5974,0.0124,14656,8169.47
recursion_gp_k8_seg_node,3000,1,802233,100623,4.5038,1.078,13.8471,,,1142.84
recursion_gp_k8_seg_total,3000,1,6417864,804984,4.5038,1.078,13.8471,,,1142.84
recursion_gp_k8_outer,3000,1,6094144,8202,0.407,0.2426,80.7503,0.0124,14656,8169.47
recursion_gp_k8,3000,2,12512008,813186,4.7636,1.3695,94.5242,0.0122,14656,8117.91
recursion_gp_k8_seg_node,3000,2,802233,100623,4.5038,1.1039,14.1488,,,1142.88
recursion_gp_k8_seg_total,3000,2,6417864,804984,4.5038,1.1039,14.1488,,,1142.88
recursion_gp_k8_outer,3000,2,6094144,8202,0.2598,0.2656,80.3754,0.0122,14656,8117.91
recursion_gp_k2,4000,1,10033037,1084048,30.4212,4.5833,92.3102,0.0157,14656,6195.14
recursion_gp_k2_seg_node,4000,1,4274859,537748,30.0777,4.3646,71.3023,,,6195.14
recursion_gp_k2_seg_total,4000,1,8549718,1075496,30.0777,4.3646,71.3023,,,6195.14
