variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_sort_k8_seg_node,128,1,21231,2543,0.2778,0.2159,0.5129,,,52.72
recursion_sort_k8_seg_total,128,1,169848,20344,0.2778,0.2159,0.5129,,,52.72
recursion_sort_k8_outer,128,1,6085854,2829,0.2982,0.2312,77.7668,0.0122,14656,8066.16
recursion_sort_k8,128,2,6255702,23173,0.5423,0.5127,78.5035,0.0122,14656,8128.26
recursion_sort_k8_seg_node,128,2,21231,2543,0.2778,0.2673,0.5609,,,52.87
recursion_sort_k8_seg_total,128,2,169848,20344,0.2778,0.2673,0.5609,,,52.87
recursion_sort_k8_outer,128,2,6085854,2829,0.2645,0.2454,77.9426,0.0122,14656,8128.26
recursion_sort_k2,256,1,1846614,51749,1.4501,0.6821,17.9494,0.0114,14656,2065.74
recursion_sort_k2_seg_node,256,1,180183,24153,1.0589,0.3762,2.3141,,,272.43
recursion_sort_k2_seg_total,256,1,360366,48306,1.0589,0.3762,2.3141,,,272.43
recursion_sort_k2_outer,256,1,1486248,3443,0.3912,0.3059,15.6353,0.0114,14656,2065.74
recursion_sort_k2,256,2,1846614,51749,1.303,0.7266,23.783,0.0153,14656,2094.95
recursion_sort_k2_seg_node,256,2,180183,24153,1.0589,0.4096,2.5414,,,272.32
recursion_sort_k2_seg_total,256,2,360366,48306,1.0589,0.4096,2.5414,,,272.32
recursion_sort_k2_outer,256,2,1486248,3443,0.2441,0.317,21.2416,0.0153,14656,2094.95
recursion_sort_k4,256,1,3385261,51781,0.9271,0.5668,36.4995,0.0137,14656,4186.59
recursion_sort_k4_seg_node,256,1,90823,11993,0.5534,0.2613,1.4264,,,159.78
recursion_sort_k4_seg_total,256,1,363292,47972,0.5534,0.2613,1.4264,,,159.78
recursion_sort_k4_outer,256,1,3021969,3809,0.3737,0.3055,35.0731,0.0137,14656,4186.59
recursion_sort_k4,256,2,3385261,51781,0.8649,0.682,41.7723,0.0137,14656,4220.11
recursion_sort_k4_seg_node,256,2,90823,11993,0.5534,0.3541,1.8732,,,159.76
recursion_sort_k4_seg_total,256,2,363292,47972,0.5534,0.3541,1.8732,,,159.76
recursion_sort_k4_outer,256,2,3021969,3809,0.3115,0.3279,39.8991,0.0137,14656,4220.11
recursion_sort_k8,256,1,6463138,51845,18.8799,0.5245,78.5576,0.0124,14656,8229.25
recursion_sort_k8_seg_node,256,1,46143,5913,4.5702,0.2121,0.7025,,,88.21
recursion_sort_k8_seg_total,256,1,369144,47304,4.5702,0.2121,0.7025,,,88.21
recursion_sort_k8_outer,256,1,6093994,4541,14.3097,0.3124,77.8551,0.0124,14656,8229.25
recursion_sort_k8,256,2,6463138,51845,4.9074,0.64,78.5483,0.0122,14656,8195.01
recursion_sort_k8_seg_node,256,2,46143,5913,4.5702,0.3018,1.0497,,,88.33
recursion_sort_k8_seg_total,256,2,369144,47304,4.5702,0.3018,1.0497,,,88.33
recursion_sort_k8_outer,256,2,6093994,4541,0.3372,0.3382,77.4986,0.0122,14656,8195.01
recursion_sort_k2,512,1,2304523,114725,3.2067,1.3165,20.6028,0.0113,14656,2115.69
recursion_sort_k2_seg_node,512,1,402636,54083,2.3257,0.6369,4.6345,,,576.24
recursion_sort_k2_seg_total,512,1,805272,108166,2.3257,0.6369,4.6345,,,576.24
recursion_sort_k2_outer,512,1,1499251,6559,0.881,0.6796,15.9683,0.0113,14656,2115.69
recursion_sort_k2,512,2,2304523,114725,2.7655,1.4389,27.3298,0.0154,14656,2108.98
recursion_sort_k2_seg_node,512,2,402636,54083,2.3257,0.7304,6.7722,,,576.17
recursion_sort_k2_seg_total,512,2,805272,108166,2.3257,0.7304,6.7722,,,576.17
recursion_sort_k2_outer,512,2,1499251,6559,0.4398,0.7085,20.5576,0.0154,14656,2108.98
recursion_sort_k4,512,1,3843463,114757,2.0449,1.0437,39.798,0.0136,14656,4223.35
recursion_sort_k4_seg_node,512,1,201964,26947,1.1557,0.3731,2.4785,,,295.16
recursion_sort_k4_seg_total,512,1,807856,107788,1.1557,0.3731,2.4785,,,295.16
recursion_sort_k4_outer,512,1,3035607,6969,0.8892,0.6706,37.3195,0.0136,14656,4223.35
recursion_sort_k4,512,2,3843463,114757,1.5949,1.1221,43.9854,0.0133,14656,4161.46
recursion_sort_k4_seg_node,512,2,201964,26947,1.1557,0.4599,3.6165,,,295.32
recursion_sort_k4_seg_total,512,2,807856,107788,1.1557,0.4599,3.6165,,,295.32
recursion_sort_k4_outer,512,2,3035607,6969,0.4392,0.6622,40.3689,0.0133,14656,4161.46
recursion_sort_k8,512,1,6920758,114821,1.431,0.9186,77.963,0.0118,14656,8131.91
recursion_sort_k8_seg_node,512,1,101628,13379,0.6086,0.2777,1.3721,,,158.04
recursion_sort_k8_seg_total,512,1,813024,107032,0.6086,0.2777,1.3721,,,158.04
recursion_sort_k8_outer,512,1,6107734,7789,0.8224,0.6409,76.5909,0.0118,14656,8131.91
recursion_sort_k8,512,2,6920758,114821,1.051,0.9831,79.8119,0.0124,14656,8172.76
recursion_sort_k8_seg_node,512,2,101628,13379,0.6086,0.3471,1.9272,,,158.07
recursion_sort_k8_seg_total,512,2,813024,107032,0.6086,0.3471,1.9272,,,158.07
recursion_sort_k8_outer,512,2,6107734,7789,0.4424,0.636,77.8847,0.0124,14656,8172.76
recursion_sort_k2,768,1,2850384,188965,5.7437,2.4154,29.4162,0.0154,14656,2148.12
recursion_sort_k2_seg_node,768,1,668992,89645,4.2195,1.0241,8.3173,,,983.5
recursion_sort_k2_seg_total,768,1,1337984,179290,4.2195,1.0241,8.3173,,,983.5
recursion_sort_k2_outer,768,1,1512400,9675,1.5242,1.3913,21.0989,0.0154,14656,2148.12
recursion_sort_k2,768,2,2850384,188965,4.8428,2.4731,32.4284,0.0152,14656,2160.57
recursion_sort_k2_seg_node,768,2,668992,89645,4.2195,1.1016,11.4189,,,983.54
recursion_sort_k2_seg_total,768,2,1337984,179290,4.2195,1.1016,11.4189,,,983.54
recursion_sort_k2_outer,768,2,1512400,9675,0.6233,1.3715,21.0095,0.0152,14656,2160.57
recursion_sort_k4,768,1,4389177,188997,3.7938,1.8133,45.8269,0.0137,14656,4277.88
recursion_sort_k4_seg_node,768,1,335056,44717,2.0824,0.5118,4.4232,,,489.32
recursion_sort_k4_seg_total,768,1,1340224,178868,2.0824,0.5118,4.4232,,,489.32
recursion_sort_k4_outer,768,1,3048953,10129,1.7114,1.3015,41.4037,0.0137,14656,4277.88
recursion_sort_k4,768,2,4389177,188997,2.7227,1.8686,46.8725,0.0134,14656,4264.97
recursion_sort_k4_seg_node,768,2,335056,44717,2.0824,0.5904,6.052,,,489.41
recursion_sort_k4_seg_total,768,2,1340224,178868,2.0824,0.5904,6.052,,,489.41
recursion_sort_k4_outer,768,2,3048953,10129,0.6403,1.2782,40.8205,0.0134,14656,4264.97
recursion_sort_k8,768,1,7466762,189061,2.7713,1.596,80.615,0.0121,14656,8236.28
recursion_sort_k8_seg_node,768,1,168088,22253,1.0007,0.3456,2.402,,,278.12
recursion_sort_k8_seg_total,768,1,1344704,178024,1.0007,0.3456,2.402,,,278.12
recursion_sort_k8_outer,768,1,6122058,11037,1.7706,1.2504,78.213,0.0121,14656,8236.28
recursion_sort_k8,768,2,7466762,189061,1.646,1.6284,81.2713,0.012,14656,8201.83
recursion_sort_k8_seg_node,768,2,168088,22253,1.0007,0.4138,3.2591,,,278.02
recursion_sort_k8_seg_total,768,2,1344704,178024,1.0007,0.4138,3.2591,,,278.02
recursion_sort_k8_outer,768,2,6122058,11037,0.6453,1.2146,78.0122,0.012,14656,8201.83
recursion_sort_k2,1000,1,3265500,246037,8.195,3.5717,30.3267,0.0157,14656,2249.96
recursion_sort_k2_seg_node,1000,1,870745,116789,5.5117,1.4281,9.6452,,,1240.88
