variant,n,k,m,run,circuit,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb,verify_hier_s,xchecks_ok
hier_a,48,8,6,3,sub_6,8126,753,0.2127,0.6493,1.2907,0.0191,14656,31.64,0.1035,1
hier_a,48,8,6,3,sub_7,8126,753,0.2127,0.4866,1.3048,0.0163,14656,31.44,0.1035,1
hier_a,48,8,6,3,glue,12050,1605,0.2265,0.5634,1.384,0.0144,14656,40.07,0.1035,1
hier_a,96,2,48,1,sub_0,60423,7919,0.4316,0.2796,1.6696,0.0093,14656,102.25,0.0862,1
hier_a,96,2,48,1,sub_1,60423,7919,0.4316,0.289,1.6676,0.0098,14656,102.71,0.0862,1
hier_a,96,2,48,1,glue,7032,1373,0.2277,0.2588,0.4228,0.0136,14656,31.99,0.0862,1
hier_a,96,2,48,2,sub_0,60423,7919,0.4316,0.2899,1.6856,0.009,14656,102.34,0.081,1
hier_a,96,2,48,2,sub_1,60423,7919,0.4316,0.2746,1.6842,0.0096,14656,102.44,0.081,1
hier_a,96,2,48,2,glue,7032,1373,0.2277,0.2649,0.5871,0.0122,14656,31.8,0.081,1
hier_a,96,2,48,3,sub_0,60423,7919,0.4316,0.2866,1.7136,0.0091,14656,102.74,0.0797,1
hier_a,96,2,48,3,sub_1,60423,7919,0.4316,0.2762,1.7121,0.0088,14656,102.41,0.0797,1
hier_a,96,2,48,3,glue,7032,1373,0.2277,0.2431,0.4569,0.0101,14656,31.86,0.0797,1
hier_a,96,4,24,1,sub_0,31029,3887,0.3401,0.2614,2.3261,0.0148,14656,63.28,0.1078,1
hier_a,96,4,24,1,sub_1,31029,3887,0.3401,0.3145,2.293,0.0144,14656,62.06,0.1078,1
hier_a,96,4,24,1,sub_2,31029,3887,0.3401,0.2682,2.3065,0.021,14656,63.14,0.1078,1
hier_a,96,4,24,1,sub_3,31029,3887,0.3401,0.3703,2.2174,0.0172,14656,63.1,0.1078,1
hier_a,96,4,24,1,glue,9458,1685,0.2428,0.4444,1.2033,0.0145,14656,37.05,0.1078,1
hier_a,96,4,24,2,sub_0,31029,3887,0.3401,0.5783,2.7098,0.0147,14656,63.48,0.0965,1
hier_a,96,4,24,2,sub_1,31029,3887,0.3401,0.3226,2.8319,0.0151,14656,63.13,0.0965,1
hier_a,96,4,24,2,sub_2,31029,3887,0.3401,0.3229,2.7112,0.0217,14656,63.31,0.0965,1
hier_a,96,4,24,2,sub_3,31029,3887,0.3401,0.4505,2.9237,0.0212,14656,62.25,0.0965,1
hier_a,96,4,24,2,glue,9458,1685,0.2428,0.3992,2.0897,0.0144,14656,37.02,0.0965,1
hier_a,96,4,24,3,sub_0,31029,3887,0.3401,0.3409,2.8646,0.0144,14656,63.44,0.0952,1
hier_a,96,4,24,3,sub_1,31029,3887,0.3401,0.5235,2.8193,0.0172,14656,63.32,0.0952,1
hier_a,96,4,24,3,sub_2,31029,3887,0.3401,0.3644,2.8289,0.0211,14656,63.2,0.0952,1
hier_a,96,4,24,3,sub_3,31029,3887,0.3401,0.3584,2.837,0.0206,14656,63.19,0.0952,1
hier_a,96,4,24,3,glue,9458,1685,0.2428,0.5317,1.884,0.019,14656,36.88,0.0952,1
hier_a,96,8,12,1,sub_0,16332,1871,0.2897,0.6103,3.2836,0.0147,14656,42.0,0.1379,1
hier_a,96,8,12,1,sub_1,16332,1871,0.2897,0.6135,3.4727,0.0153,14656,42.04,0.1379,1
hier_a,96,8,12,1,sub_2,16332,1871,0.2897,0.5695,2.7475,0.0217,14656,38.93,0.1379,1
hier_a,96,8,12,1,sub_3,16332,1871,0.2897,0.5622,3.1185,0.023,14656,42.22,0.1379,1
hier_a,96,8,12,1,sub_4,16332,1871,0.2897,0.7852,3.3052,0.0187,14656,42.12,0.1379,1
hier_a,96,8,12,1,sub_5,16332,1871,0.2897,0.774,3.3118,0.0124,14656,41.88,0.1379,1
hier_a,96,8,12,1,sub_6,16332,1871,0.2897,0.6551,3.4673,0.012,14656,42.5,0.1379,1
hier_a,96,8,12,1,sub_7,16332,1871,0.2897,0.6034,3.0989,0.0113,14656,41.49,0.1379,1
hier_a,96,8,12,1,glue,14310,2309,0.2951,0.6811,3.0972,0.0124,14656,41.66,0.1379,1
hier_a,96,8,12,2,sub_0,16332,1871,0.2897,0.5094,3.1739,0.0161,14656,40.23,0.1319,1
hier_a,96,8,12,2,sub_1,16332,1871,0.2897,0.6033,2.9955,0.0194,14656,42.21,0.1319,1
hier_a,96,8,12,2,sub_2,16332,1871,0.2897,0.6073,3.0848,0.0211,14656,41.03,0.1319,1
